,,,,,,,,,,
,,,,,,,,,,
DATE ,TIME,T1,T2,T3,,DATE ,TIME,T1,T2,T3
,,DAY 1,,,,,,DAY 2,,
03-01-2026,1:50:01 PM,33.63,33.56,29.44,,04-01-2026,10:01:03 PM,85,85,85
03-01-2026,3:30:21 PM,85,85,85,,04-01-2026,10:01:37 PM,24.81,25.12,24.81
03-01-2026,3:30:36 PM,27.75,27.81,27.25,,04-01-2026,10:01:43 PM,24.75,25.06,24.69
03-01-2026,3:32:24 PM,85,85,85,,04-01-2026,10:06:44 PM,24.75,25.12,24.69
03-01-2026,3:33:36 PM,27.87,27.94,27.31,,04-01-2026,10:11:44 PM,24.62,25.19,24.81
03-01-2026,3:33:59 PM,27.87,27.94,27.31,,04-01-2026,10:16:44 PM,24.5,24.87,24.69
03-01-2026,3:37:36 PM,85,85,85,,04-01-2026,10:21:44 PM,24.81,25.25,24.44
03-01-2026,3:38:59 PM,27.87,27.94,27.62,,04-01-2026,10:26:44 PM,24.94,25.31,24.12
03-01-2026,3:42:00 PM,29.25,29.69,27.81,,04-01-2026,10:31:45 PM,24.87,25.37,24.5
03-01-2026,3:48:59 PM,31.81,31.75,28.75,,04-01-2026,10:36:45 PM,24.69,25.19,24.25
03-01-2026,3:53:59 PM,32.06,31.69,29,,04-01-2026,10:41:45 PM,24.75,25.19,24.5
03-01-2026,3:59:00 PM,32.31,32.13,29.44,,04-01-2026,10:46:45 PM,24.37,24.62,24
03-01-2026,4:04:00 PM,32.13,31.81,29.69,,04-01-2026,10:51:45 PM,24.31,24.69,23.94
03-01-2026,4:09:00 PM,32.94,32.88,30.62,,04-01-2026,10:56:45 PM,24.69,25.12,24
03-01-2026,4:14:00 PM,32.25,32.06,30.56,,04-01-2026,11:01:46 PM,25.06,25.56,24.25
03-01-2026,4:19:00 PM,31.5,31.12,29.75,,04-01-2026,11:06:46 PM,25.37,25.87,24.62
03-01-2026,4:31:15 PM,85,85,85,,04-01-2026,11:11:46 PM,25.75,26.19,24.81
03-01-2026,4:31:24 PM,29.62,29.75,28.87,,04-01-2026,11:16:46 PM,25.5,26,24.62
03-01-2026,4:36:25 PM,29.62,29.75,28.87,,04-01-2026,11:21:46 PM,26,26.25,24.81
03-01-2026,4:41:25 PM,29.5,29.5,28.81,,04-01-2026,11:26:46 PM,26.12,26.25,24.81
03-01-2026,4:46:25 PM,29,29.19,28.37,,04-01-2026,11:31:47 PM,26.44,26.44,25.06
03-01-2026,4:51:25 PM,29.12,29.12,28.31,,04-01-2026,11:36:47 PM,26.37,26.31,25.19
03-01-2026,4:56:25 PM,29.19,29.37,28.31,,04-01-2026,11:41:47 PM,26.56,26.37,25.12
03-01-2026,5:01:25 PM,29,29,28.12,,04-01-2026,11:46:47 PM,26.5,26.37,25.31
03-01-2026,5:06:26 PM,29.31,29.25,28.19,,04-01-2026,11:51:47 PM,26.62,26.81,25.25
03-01-2026,5:11:26 PM,28.56,28.56,27.87,,04-01-2026,11:56:48 PM,26.62,26.69,25.31
03-01-2026,5:16:26 PM,28.37,28.25,27.75,,04-01-2026,12:01:48 PM,26.94,27.06,25.37
03-01-2026,5:33:14 PM,85,85,85,,04-01-2026,12:06:48 PM,26.87,26.87,25.69
03-01-2026,5:33:20 PM,28,27.87,27.12,,04-01-2026,12:11:48 PM,26.62,26.62,25.5
03-01-2026,5:33:22 PM,28,27.87,27.19,,04-01-2026,12:16:48 PM,26.81,26.87,25.5
03-01-2026,5:33:25 PM,28,27.87,27.19,,04-01-2026,12:21:48 PM,26.69,27.19,25.25
03-01-2026,5:33:38 PM,85,85,85,,04-01-2026,12:26:49 PM,27.25,27.37,25.69
03-01-2026,5:33:41 PM,27.94,27.87,27.25,,04-01-2026,12:31:49 PM,27.25,27.5,25.62
03-01-2026,5:38:41 PM,27.94,27.87,27.25,,04-01-2026,12:36:49 PM,27.37,27.44,26
,,,,,,04-01-2026,12:41:49 PM,27.31,27.75,25.75
,,,,,,04-01-2026,12:46:49 PM,28.06,28.19,26.56
,,,,,,04-01-2026,12:51:50 PM,27.87,28.12,26.37
,,,,,,04-01-2026,12:56:50 PM,27.87,28,26.62
,,,,,,04-01-2026,1:01:50 PM,28.12,28.25,26.69
,,,,,,04-01-2026,1:06:50 PM,28.62,28.81,27.06
,,,,,,04-01-2026,1:11:50 PM,28.19,28.31,26.87
,,,,,,04-01-2026,1:16:50 PM,28.56,28.62,27.25
,,,,,,04-01-2026,1:21:51 PM,28.69,29.06,27.19
